"","Test.kidney.2","Control.kidney.1","Control.lung.1","Test.lung.1","Test.lung.2","Control.lung.2","Control.liver.1","Test.liver.2","Test.liver.1","Control.liver.2"
"0610031O16Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610010B08Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1110015O18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1110025L11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1110036E04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1190003K10Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1500009C09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1500015L24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1600014C23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1600014K23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1600015I10Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1600016N20Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1600019K03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1600025M17Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1600027J07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700001F09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700001G17Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700001K23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700001P01Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003C15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003E24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003F12Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003G13Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003G18Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003H04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003L19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700003P14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700006A11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700006E09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700006F04Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700006H21Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700007B14Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700007F19Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1700007G11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
